iter	RMSE
0	70936.9901
1	68531.80824
2	66397.40139
3	64236.43281
4	62487.03822
5	60590.41216
6	58792.10977
7	57223.17115
8	55650.9649
9	54091.35879
10	52673.30247
11	51385.77444
12	50022.00441
13	48787.4734
14	47571.97276
15	46590.82294
16	45458.92642
17	44385.4404
18	43402.96514
19	42428.06493
20	41486.35023
21	40638.5693
22	39777.83821
23	39075.6178
24	38282.30359
25	37629.03938
26	37007.43071
27	36397.85489
28	35779.40899
29	35238.08208
30	34742.5215
31	34198.98276
32	33718.41151
33	33227.64646
34	32705.06765
35	32313.81807
36	31849.70494
37	31367.32082
38	30930.56467
39	30530.93298
40	30172.40772
41	29765.49897
42	29391.81863
43	29104.44198
44	28809.87456
45	28486.78718
46	28223.70277
47	27948.35002
48	27678.25652
49	27407.46218
50	27175.3238
51	26928.0941
52	26679.77255
53	26459.1156
54	26165.34803
55	25940.95726
56	25726.62683
57	25490.17427
58	25255.62066
59	25067.07016
60	24909.55022
61	24717.05235
62	24565.85651
63	24373.33394
64	24198.82453
65	24032.52506
66	23843.87545
67	23667.75061
68	23525.06108
69	23350.96978
70	23216.11336
71	23081.2416
72	22968.34744
73	22854.3584
74	22740.62476
75	22605.18506
76	22527.52404
77	22389.00649
78	22257.93486
79	22128.5055
80	22025.70216
81	21931.04167
82	21799.62767
83	21704.04702
84	21602.77188
85	21515.87316
86	21419.12467
87	21371.57198
88	21277.75398
89	21197.66439
90	21111.85537
91	21011.1996
92	20919.98332
93	20786.80153
94	20740.36514
95	20616.44353
96	20544.59139
97	20490.24356
98	20429.3502
99	20367.80706
100	20332.15014
101	20253.27554
102	20177.60243
103	20119.1003
104	20071.51757
105	20019.26479
106	19952.62998
107	19897.99926
108	19840.53987
109	19751.85366
110	19684.01284
111	19636.36625
112	19560.73217
113	19551.27923
114	19502.10342
115	19451.03229
116	19398.37191
117	19330.39118
118	19277.60862
119	19225.76237
120	19188.52916
121	19178.2961
122	19147.46819
123	19101.2157
124	19077.29353
125	19027.06599
126	18958.74976
127	18914.65895
128	18840.6583
129	18812.32268
130	18743.80914
131	18722.86104
132	18684.24436
133	18667.56014
134	18618.15844
135	18593.43928
136	18553.37532
137	18497.19104
138	18472.92416
139	18421.54925
140	18380.16335
141	18334.26463
142	18293.58651
143	18211.92806
144	18176.00009
145	18137.48752
146	18092.70245
147	18075.23575
148	18063.43691
149	18050.18255
150	17978.68721
151	17950.38782
152	17934.97498
153	17846.90311
154	17820.46093
155	17765.97298
156	17752.8343
157	17710.19164
158	17655.56688
159	17609.76684
160	17564.02376
161	17540.26102
162	17517.60824
163	17490.43017
164	17445.68391
165	17424.19324
166	17372.26434
167	17346.56252
168	17326.60854
169	17308.70753
170	17268.21106
171	17254.77819
172	17244.17622
173	17226.30715
174	17183.21082
175	17175.95314
176	17159.31634
