iter	Passed	Remaining
0	2	4077
1	4	3673
2	7	3571
3	9	3455
4	11	3349
5	13	3449
6	15	3408
7	17	3353
8	19	3279
9	22	3406
10	24	3378
11	27	3353
12	29	3325
13	31	3314
14	33	3281
15	35	3255
16	37	3230
17	38	3198
18	41	3220
19	43	3210
20	46	3259
21	48	3251
22	50	3225
23	52	3209
24	54	3192
25	56	3176
26	57	3158
27	59	3142
28	62	3164
29	64	3161
30	66	3145
31	68	3140
32	70	3127
33	72	3122
34	74	3113
35	76	3098
36	78	3088
37	79	3077
38	82	3075
39	83	3063
40	85	3055
41	88	3077
42	90	3068
43	92	3062
44	94	3053
45	96	3054
46	98	3048
47	100	3045
48	102	3041
49	104	3031
50	106	3026
51	108	3031
52	111	3032
53	113	3027
54	115	3024
55	116	3016
56	118	3009
57	121	3016
58	123	3013
59	126	3034
60	128	3033
61	130	3026
62	133	3045
63	135	3041
64	137	3040
65	139	3034
66	141	3033
67	143	3029
68	146	3036
69	148	3038
70	151	3047
71	153	3039
72	155	3047
73	157	3040
74	159	3036
75	162	3040
76	164	3048
77	167	3062
78	169	3055
79	172	3061
80	174	3058
81	175	3042
82	177	3036
83	179	3029
84	181	3024
85	183	3020
86	185	3020
87	188	3017
88	190	3013
89	192	3018
90	194	3016
91	196	3014
92	199	3011
93	201	3019
94	203	3013
95	206	3018
96	208	3013
97	210	3011
98	212	3005
99	214	3004
100	216	3001
101	218	2989
102	220	2987
103	223	2995
104	224	2985
105	227	2990
106	229	2986
107	231	2984
108	233	2979
109	235	2976
110	237	2976
111	239	2973
112	242	2971
113	243	2954
114	245	2953
115	247	2952
116	250	2956
117	253	2968
118	255	2965
119	257	2962
120	260	2968
121	262	2967
122	264	2963
123	266	2959
124	268	2955
125	270	2951
126	272	2950
127	275	2952
128	278	2957
129	280	2956
130	283	2957
131	285	2962
132	288	2960
133	290	2962
134	293	2966
135	296	2970
136	299	2976
137	302	2981
138	304	2981
139	308	2994
140	311	2998
141	313	2999
142	316	3002
143	318	3000
144	322	3013
145	324	3012
146	327	3010
147	329	3007
148	331	3005
149	334	3008
150	336	3005
151	338	3006
152	341	3007
153	343	3002
154	345	2994
155	347	2990
156	349	2990
157	351	2987
158	353	2983
159	355	2977
160	357	2973
161	359	2966
162	360	2957
163	362	2954
164	364	2950
165	366	2942
166	368	2938
167	370	2934
168	371	2926
169	373	2924
170	375	2919
171	378	2919
172	380	2915
173	382	2911
174	384	2913
175	386	2911
176	388	2902
177	390	2898
178	392	2894
179	394	2890
180	396	2886
181	397	2880
182	399	2875
183	400	2865
184	402	2859
185	404	2855
186	406	2853
187	408	2851
188	410	2849
189	412	2845
190	414	2837
191	416	2835
192	419	2838
193	421	2835
194	423	2833
195	425	2833
196	427	2827
197	429	2823
198	431	2821
199	433	2818
200	436	2818
201	439	2822
202	441	2819
203	443	2815
204	446	2817
205	448	2816
206	451	2818
207	453	2814
208	455	2810
209	457	2812
210	459	2809
211	461	2806
212	463	2802
213	466	2802
214	468	2801
215	471	2801
216	473	2801
217	475	2798
218	478	2798
219	480	2795
220	482	2792
221	484	2789
222	486	2785
223	488	2783
224	490	2780
225	492	2776
226	494	2773
227	496	2771
228	498	2768
229	500	2764
230	502	2762
231	504	2759
232	506	2756
233	509	2754
234	510	2750
235	513	2750
236	515	2747
237	517	2745
238	519	2743
239	522	2743
240	524	2740
241	526	2737
242	528	2735
243	531	2733
244	533	2730
245	535	2727
246	537	2725
247	539	2722
248	541	2719
249	543	2715
250	545	2712
251	546	2708
252	548	2705
253	550	2702
254	553	2700
255	555	2697
256	557	2697
257	559	2695
258	562	2694
259	564	2691
260	566	2688
261	568	2686
262	570	2683
263	572	2680
264	574	2677
265	576	2674
266	578	2671
267	580	2668
268	582	2665
269	584	2662
270	586	2659
271	589	2661
272	591	2660
273	593	2657
274	596	2654
275	598	2652
276	600	2650
277	602	2648
278	604	2644
279	606	2641
280	609	2642
281	611	2639
282	613	2638
283	615	2635
284	617	2631
285	619	2629
286	621	2627
287	623	2624
288	625	2620
289	627	2617
290	629	2614
291	632	2614
292	634	2612
293	636	2612
294	639	2610
295	641	2607
296	643	2605
297	645	2602
298	647	2599
299	649	2598
300	651	2595
301	653	2593
302	655	2590
303	657	2587
304	660	2588
305	662	2586
306	664	2584
307	667	2581
308	669	2580
309	671	2578
310	673	2576
311	675	2571
312	677	2569
313	679	2566
314	681	2562
315	683	2559
316	685	2558
317	687	2555
318	689	2552
319	691	2549
320	693	2547
321	695	2545
322	697	2543
323	700	2542
324	702	2540
325	704	2537
326	707	2537
327	709	2536
328	711	2533
329	713	2531
330	715	2528
331	718	2526
332	720	2526
333	722	2523
334	725	2523
335	727	2520
336	730	2520
337	733	2520
338	734	2517
339	736	2514
340	739	2512
341	741	2509
342	742	2505
343	745	2505
344	747	2503
345	749	2500
346	751	2497
347	754	2498
348	757	2496
349	758	2493
350	760	2490
351	762	2488
352	765	2486
353	767	2483
354	769	2482
355	771	2479
356	774	2478
357	776	2475
358	778	2473
359	780	2470
360	782	2467
361	784	2466
362	787	2467
363	789	2464
364	792	2463
365	794	2460
366	796	2458
367	799	2459
368	801	2457
369	804	2456
370	806	2453
371	808	2450
372	810	2447
373	812	2444
374	814	2442
375	817	2443
376	819	2440
377	822	2440
378	824	2437
379	826	2436
380	828	2434
381	830	2431
382	832	2429
383	834	2426
384	836	2424
385	838	2421
386	841	2420
387	843	2418
388	845	2415
389	848	2414
390	850	2411
391	852	2408
392	854	2406
393	856	2405
394	858	2402
395	861	2400
396	862	2397
397	865	2395
398	867	2393
399	869	2390
400	871	2387
401	873	2386
402	875	2384
403	877	2381
404	879	2378
405	881	2375
406	883	2373
407	886	2372
408	888	2370
409	890	2367
410	893	2366
411	895	2364
412	897	2361
413	899	2359
414	901	2356
415	903	2353
416	905	2350
417	907	2348
418	909	2345
419	911	2342
420	913	2340
421	915	2337
422	917	2335
423	919	2333
424	921	2330
425	923	2327
426	925	2326
427	927	2323
428	930	2322
429	933	2321
430	934	2318
431	936	2316
432	939	2315
433	941	2312
434	943	2310
435	945	2307
436	947	2305
437	950	2304
438	952	2301
439	954	2299
440	956	2296
441	958	2294
442	960	2291
443	962	2290
444	964	2287
445	967	2286
446	970	2285
447	972	2282
448	974	2280
449	976	2277
450	978	2274
451	980	2274
452	982	2271
453	985	2269
454	987	2267
455	989	2264
456	991	2262
457	993	2259
458	995	2257
459	997	2254
460	999	2252
461	1001	2251
462	1004	2249
463	1006	2246
464	1008	2245
465	1010	2242
466	1012	2239
467	1014	2237
468	1017	2235
469	1019	2234
470	1021	2232
471	1023	2230
472	1025	2227
473	1027	2224
474	1029	2222
475	1032	2220
476	1034	2217
477	1036	2215
478	1038	2212
479	1040	2211
480	1042	2209
481	1044	2206
482	1047	2205
483	1049	2202
484	1051	2199
485	1053	2197
486	1055	2194
487	1057	2192
488	1059	2189
489	1061	2187
490	1063	2184
491	1065	2182
492	1067	2180
493	1069	2178
494	1072	2176
495	1074	2174
496	1076	2171
497	1078	2170
498	1080	2168
499	1083	2166
500	1086	2165
501	1088	2164
502	1090	2161
503	1092	2158
504	1094	2156
505	1096	2153
506	1099	2152
507	1101	2150
508	1103	2149
509	1105	2146
510	1107	2144
511	1109	2141
512	1112	2139
513	1114	2137
514	1115	2134
515	1118	2133
516	1120	2130
517	1122	2128
518	1124	2126
519	1126	2123
520	1128	2121
521	1130	2118
522	1132	2115
523	1134	2113
524	1137	2111
525	1139	2109
526	1141	2107
527	1144	2106
528	1146	2103
529	1147	2101
530	1150	2099
531	1152	2096
532	1154	2094
533	1156	2092
534	1158	2089
535	1160	2086
536	1163	2086
537	1165	2084
538	1168	2083
539	1171	2082
540	1173	2080
541	1175	2078
542	1177	2075
543	1179	2073
544	1181	2070
545	1183	2068
546	1185	2066
547	1188	2064
548	1191	2063
549	1193	2060
550	1195	2058
551	1197	2056
552	1199	2054
553	1201	2051
554	1203	2049
555	1206	2048
556	1208	2045
557	1210	2042
558	1212	2040
559	1214	2038
560	1216	2035
561	1218	2033
562	1220	2031
563	1223	2029
564	1225	2027
565	1227	2025
566	1230	2024
567	1232	2021
568	1234	2019
569	1236	2017
570	1238	2015
571	1240	2012
572	1242	2010
573	1245	2008
574	1246	2005
575	1249	2003
576	1251	2001
577	1253	1998
578	1255	1996
579	1256	1993
580	1258	1991
581	1260	1988
582	1262	1986
583	1264	1983
584	1267	1982
585	1270	1981
586	1272	1979
587	1274	1977
588	1276	1974
589	1279	1972
590	1281	1970
591	1283	1968
592	1285	1965
593	1287	1963
594	1289	1960
595	1291	1958
596	1293	1956
597	1295	1954
598	1297	1951
599	1299	1949
600	1301	1947
601	1304	1945
602	1307	1944
603	1309	1942
604	1311	1940
605	1313	1937
606	1315	1935
607	1317	1932
608	1320	1931
609	1323	1930
610	1325	1928
611	1327	1926
612	1329	1924
613	1332	1922
614	1334	1920
615	1336	1917
616	1338	1915
617	1341	1913
618	1343	1911
619	1344	1908
620	1347	1906
621	1349	1905
622	1352	1903
623	1354	1901
624	1356	1898
625	1358	1896
626	1360	1894
627	1362	1892
628	1364	1889
629	1366	1887
630	1368	1884
631	1370	1882
632	1372	1880
633	1374	1877
634	1376	1875
635	1378	1872
636	1380	1870
637	1382	1868
638	1384	1866
639	1387	1864
640	1389	1862
641	1391	1860
642	1394	1858
643	1396	1856
644	1398	1853
645	1400	1851
646	1403	1850
647	1405	1848
648	1407	1846
649	1410	1844
650	1412	1842
651	1415	1840
652	1417	1838
653	1419	1836
654	1421	1833
655	1423	1831
656	1426	1829
657	1429	1828
658	1431	1826
659	1433	1824
660	1435	1821
661	1437	1819
662	1440	1817
663	1442	1816
664	1445	1814
665	1447	1812
666	1449	1810
667	1452	1809
668	1455	1808
669	1457	1806
670	1460	1804
671	1463	1803
672	1465	1801
673	1467	1798
674	1469	1796
675	1471	1794
676	1473	1791
677	1475	1789
678	1477	1786
679	1480	1785
680	1482	1782
681	1485	1781
682	1487	1779
683	1490	1777
684	1492	1775
685	1495	1774
686	1497	1772
687	1499	1769
688	1501	1767
689	1504	1765
690	1506	1763
691	1508	1761
692	1510	1758
693	1512	1756
694	1514	1754
695	1516	1752
696	1518	1749
697	1521	1747
698	1523	1745
699	1525	1743
700	1527	1741
701	1529	1738
702	1531	1736
703	1533	1734
704	1535	1731
705	1538	1730
706	1540	1727
707	1542	1725
708	1544	1723
709	1547	1721
710	1548	1718
711	1550	1716
712	1552	1713
713	1554	1711
714	1557	1710
715	1560	1709
716	1563	1706
717	1564	1704
718	1566	1702
719	1569	1699
720	1571	1697
721	1573	1695
722	1575	1693
723	1577	1691
724	1579	1688
725	1582	1686
726	1584	1684
727	1586	1682
728	1588	1680
729	1590	1677
730	1592	1675
731	1594	1673
732	1596	1671
733	1599	1668
734	1601	1666
735	1603	1664
736	1604	1661
737	1606	1659
738	1609	1657
739	1611	1655
740	1613	1652
741	1615	1650
742	1618	1649
743	1620	1646
744	1622	1644
745	1624	1642
746	1627	1640
747	1629	1638
748	1631	1636
749	1633	1633
750	1635	1631
751	1637	1629
752	1639	1626
753	1642	1624
754	1643	1622
755	1646	1620
756	1648	1618
757	1650	1615
758	1652	1613
759	1655	1611
760	1657	1609
761	1660	1607
762	1662	1605
763	1664	1603
764	1666	1600
765	1668	1599
766	1671	1597
767	1673	1595
768	1675	1592
769	1678	1591
770	1680	1588
771	1682	1586
772	1684	1584
773	1687	1582
774	1689	1580
775	1690	1577
776	1693	1575
777	1695	1573
778	1697	1570
779	1699	1568
780	1701	1566
781	1704	1564
782	1705	1562
783	1708	1559
784	1710	1557
785	1712	1556
786	1714	1553
787	1716	1551
788	1718	1548
789	1720	1546
790	1722	1544
791	1724	1541
792	1727	1539
793	1729	1537
794	1731	1535
795	1733	1532
796	1735	1530
797	1737	1528
798	1739	1526
799	1741	1523
800	1743	1521
801	1745	1519
802	1747	1516
803	1749	1514
804	1751	1512
805	1753	1509
806	1755	1507
807	1757	1504
808	1759	1502
809	1761	1500
810	1763	1498
811	1765	1495
812	1767	1493
813	1769	1491
814	1772	1489
815	1774	1487
816	1776	1484
817	1778	1482
818	1780	1480
819	1782	1478
820	1784	1476
821	1786	1473
822	1788	1471
823	1790	1469
824	1792	1466
825	1795	1464
826	1797	1462
827	1799	1460
828	1801	1457
829	1803	1455
830	1805	1453
831	1807	1451
832	1809	1448
833	1811	1446
834	1814	1444
835	1816	1442
836	1817	1439
837	1819	1437
838	1821	1435
839	1825	1434
840	1827	1432
841	1830	1430
842	1832	1427
843	1834	1426
844	1837	1424
845	1839	1421
846	1840	1419
847	1843	1417
848	1845	1415
849	1847	1413
850	1850	1410
851	1852	1408
852	1854	1406
853	1856	1404
854	1858	1402
855	1860	1400
856	1862	1397
857	1865	1395
858	1867	1393
859	1869	1390
860	1871	1389
861	1873	1386
862	1875	1384
863	1877	1382
864	1879	1380
865	1882	1377
866	1884	1375
867	1886	1373
868	1888	1371
869	1890	1368
870	1892	1366
871	1894	1364
872	1896	1362
873	1898	1359
874	1900	1357
875	1902	1355
876	1904	1352
877	1906	1350
878	1909	1348
879	1911	1346
880	1913	1344
881	1915	1342
882	1917	1339
883	1919	1337
884	1922	1335
885	1924	1333
886	1926	1331
887	1928	1329
888	1930	1327
889	1933	1325
890	1936	1323
891	1938	1321
892	1940	1319
893	1943	1317
894	1945	1315
895	1947	1312
896	1949	1310
897	1951	1308
898	1953	1306
899	1955	1303
900	1957	1301
901	1959	1299
902	1961	1296
903	1963	1294
904	1965	1292
905	1968	1290
906	1971	1288
907	1973	1286
908	1975	1284
909	1977	1282
910	1980	1280
911	1982	1278
912	1984	1275
913	1986	1273
914	1988	1271
915	1991	1269
916	1993	1267
917	1995	1264
918	1996	1262
919	1998	1260
920	2000	1257
921	2002	1255
922	2004	1253
923	2006	1250
924	2010	1249
925	2012	1247
926	2014	1244
927	2016	1242
928	2018	1240
929	2020	1238
930	2022	1236
931	2024	1233
932	2027	1231
933	2029	1229
934	2031	1227
935	2033	1225
936	2036	1223
937	2038	1221
938	2040	1219
939	2043	1217
940	2045	1215
941	2047	1212
942	2049	1210
943	2051	1208
944	2054	1206
945	2057	1204
946	2059	1202
947	2062	1200
948	2064	1198
949	2067	1196
950	2069	1194
951	2071	1192
952	2074	1190
953	2076	1188
954	2078	1186
955	2080	1183
956	2082	1181
957	2084	1179
958	2087	1177
959	2089	1175
960	2091	1172
961	2093	1170
962	2095	1168
963	2097	1166
964	2099	1163
965	2101	1161
966	2103	1159
967	2105	1157
968	2107	1154
969	2109	1152
970	2112	1150
971	2114	1148
972	2116	1146
973	2118	1144
974	2121	1142
975	2123	1140
976	2125	1137
977	2128	1136
978	2130	1133
979	2132	1131
980	2134	1129
981	2136	1127
982	2138	1124
983	2140	1122
984	2142	1120
985	2144	1118
986	2146	1115
987	2148	1113
988	2150	1111
989	2154	1109
990	2156	1107
991	2158	1105
992	2160	1103
993	2162	1101
994	2165	1098
995	2167	1096
996	2169	1094
997	2171	1092
998	2173	1089
999	2175	1087
1000	2176	1085
1001	2179	1083
1002	2182	1081
1003	2184	1079
1004	2186	1076
1005	2188	1074
1006	2190	1072
1007	2191	1069
1008	2193	1067
1009	2195	1065
1010	2197	1062
1011	2199	1060
1012	2201	1058
1013	2204	1056
1014	2207	1054
1015	2209	1052
1016	2211	1050
1017	2213	1047
1018	2215	1045
1019	2217	1043
1020	2219	1041
1021	2221	1039
1022	2223	1036
1023	2225	1034
1024	2227	1032
1025	2229	1030
1026	2232	1028
1027	2234	1025
1028	2236	1023
1029	2238	1021
1030	2240	1019
1031	2243	1017
1032	2245	1015
1033	2247	1013
1034	2249	1010
1035	2251	1008
1036	2253	1006
1037	2255	1003
1038	2257	1001
1039	2260	999
1040	2262	997
1041	2264	995
1042	2266	993
1043	2269	991
1044	2271	989
1045	2273	986
1046	2276	984
1047	2277	982
1048	2281	980
1049	2283	978
1050	2286	976
1051	2288	974
1052	2290	972
1053	2293	970
1054	2295	968
1055	2297	966
1056	2299	963
1057	2302	961
1058	2304	959
1059	2306	957
1060	2308	954
1061	2310	952
1062	2312	950
1063	2314	948
1064	2317	946
1065	2319	944
1066	2321	942
1067	2323	940
1068	2326	937
1069	2328	935
1070	2330	933
1071	2332	931
1072	2334	929
1073	2336	926
1074	2339	924
1075	2341	922
1076	2344	920
1077	2346	918
1078	2348	916
1079	2350	914
1080	2352	911
1081	2354	909
1082	2356	907
1083	2358	905
1084	2360	902
1085	2362	900
1086	2365	898
1087	2367	896
1088	2369	894
1089	2371	892
1090	2373	889
1091	2375	887
1092	2377	885
1093	2380	883
1094	2381	881
1095	2384	878
1096	2386	876
1097	2388	874
1098	2390	872
1099	2392	869
1100	2394	867
1101	2396	865
1102	2398	863
1103	2402	861
